year,Rank,Artist,Title,Spotify_Popularity,Artist_Popularity
1962,16,Claude King,Wolverton Mountain,37,39
1962,17,Chubby Checker,Slow Twistin’,31,55
1962,18,Johnny Tillotson,It Keeps Right On A-hurtin’,31,48
1962,19,Mary Wells,The One Who Really Loves You,44,57
1962,20,Elvis Presley,Good Luck Charm,-1,81
1962,21,Kenny Ball,Midnight In Moscow,-1,35
1962,22,Tommy Roe,Sheila,32,42
1962,23,Sam Cooke,Twistin’ The Night Away,59,70
1962,24,Orlons,Wah-Watusi,32,29
1962,25,Joey Dee and The Starlighters,Peppermint Twist,-1,-1
1962,26,Brenda Lee,Break It To Me Gently,-1,75
1962,27,Marvelettes,Playboy,41,58
1962,28,Nat King Cole,Ramblin’ Rose,41,78
1962,29,Brian Hyland,Sealed With A Kiss,-1,49
1962,30,Jay and The Americans,She Cried,20,55
1962,31,Connie Francis,Don’t Break The Heart That Loves You,-1,56
1962,32,Gary U.S. Bonds,Dear Lady Twist,-1,32
1962,33,Sue Thompson,Norman,19,35
1962,34,Ketty Lester,Love Letters,-1,28
1962,35,Claudine Clark,Party Lights,-1,15
1962,36,Highwaymen,Cotton Fields,-1,56
1962,37,Bent Fabric,Alley Cat,-1,15
1962,38,The Isley Brothers,Twist And Shout,53,66
1962,39,Richard Chamberlain,Theme From Dr. Kildare,4,14
1962,40,Ace Cannon,Tuff,-1,25
1962,41,Clyde Mcphatter,"Lover, Please",-1,54
1962,42,Barbara George,I Know,-1,15
1962,43,Rick Nelson,Young World,-1,0
1962,44,Shirelles,Baby It’s You,-1,55
1962,45,Pat Boone,Speedy Gonzales,39,46
1962,46,Burl Ives,A Little Bitty Tear,-1,73
1962,47,Everly Brothers,Crying In The Rain,52,62
1962,48,Emillo Pericoli,Al Di La’,-1,-1
1962,49,Ernie Maresca,Shout! Shout! (Knock Yourself Out),31,19
1962,50,Don and Juan,What’s Your Name,-1,25
1962,51,Corsairs,Smoky Places,-1,5
1962,52,Sam Cooke,Having A Party,32,70
1962,53,Booker T and The MG’s,Green Onions,-1,-1
1962,54,Ray Charles,You Don’t Know Me,-1,69
1962,55,Four Seasons,Sherry,56,65
1962,56,Joanie Sommers,Johnny Get Angry,29,25
1962,57,Elvis Presley,Can’t Help Falling In Love,-1,81
